sr_id               	string              	                    
sr_number           	string              	                    
sr_process          	string              	                    
sr_area             	string              	                    
sr_sub_area         	string              	                    
sr_start_date       	string              	                    
sr_start_time       	string              	                    
sr_end_date         	string              	                    
sr_end_time         	string              	                    
sr_reason           	string              	                    
sr_due_date         	string              	                    
sr_resolution_code  	string              	                    
sr_status           	string              	                    
sr_sub_status       	string              	                    
sr_next_action_due_date	string              	                    
sr_source           	string              	                    
sr_case_id          	string              	                    
sr_owner_employee_id	string              	                    
sr_created_date     	string              	                    
sr_updated_date     	string              	                    
sr_version_number   	int                 	                    
sr_x_uniq_ref_num   	int                 	                    
sr_status_id        	string              	                    
sr_status_name      	string              	                    
sr_status_val       	string              	                    
sr_status_start_date	string              	                    
sr_status_end_date  	string              	                    
sr_status_created_date	string              	                    
sr_status_update_date	string              	                    
sr_status_version_number	int                 	                    
sr_status_batch_number	string              	                    
sr_sub_status_id    	string              	                    
sr_sub_status_name  	string              	                    
sr_sub_status_val   	string              	                    
sr_sub_status_start_date	string              	                    
sr_sub_status_end_date	string              	                    
sr_sub_status_created_date	string              	                    
sr_sub_status_update_date	string              	                    
sr_sub_status_version_number	int                 	                    
sr_sub_status_batch_number	string              	                    
contact_id          	string              	                    
contact_scin        	string              	                    
contact_created_date	string              	                    
contact_update_date 	string              	                    
contact_version_number	int                 	                    
case_id             	string              	                    
case_number         	string              	                    
case_master_case_number	string              	                    
case_created_date   	string              	                    
case_update_date    	string              	                    
case_version_number 	int                 	                    
employer_name       	string              	                    
employer_reference_number	bigint              	                    
region              	string              	                    
segment             	string              	                    
sub_segment         	string              	                    
division            	string              	                    
sub_divn            	string              	                    
team                	string              	                    
sr_event_clearance_ind	string              	                    
sr_event_intake_ind 	string              	                    
sr_event_work_on_hand_ind	string              	                    
sr_event_work_on_hand_brought_forward_ind	string              	                    
sr_event_calendar_days_age          	string              	                    
sr_event_working_days_age          	string              	                    
sr_sla                 	string              	                    
sr_event_calendar_days_age_band                	string              	                    
sr_event_working_days_age_band            	string              	                    
sr_event_clearance_within_sla_ind	string              	                    
sr_event_clearance_outside_sla_ind	string              	                    
sr_event_woh_within_sla_ind	string              	                    
sr_event_woh_outside_sla_ind	string              	                    
processed_time      	string              	                    
load_date           	string              	                    
business_date       	string              	                    
	 	 

